player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Manuel Guinard,Felix Auger Aliassime,148.0,10.0,-138.0,0.5,0.8,0
Benjamin Bonzi,Alex Michelsen,124.0,44.0,-80.0,0.3,0.6,1
Milos Raonic,Alex De Minaur,319.0,10.0,-309.0,0.5,0.7,0
Andreas Seppi,Jenson Brooksby,100.0,54.0,-46.0,0.3,0.7,0
Jaume Munar,Kevin Anderson,77.0,80.0,3.0,0.1,0.3,1
Denis Shapovalov,Rafael Nadal,14.0,5.0,-9.0,0.7,0.8,0
Dusan Lajovic,Frances Tiafoe,56.0,18.0,-38.0,0.5,0.6,0
Pierre Hugues Herbert,Peter Gojowczyk,113.0,96.0,-17.0,0.2,0.5,1
Emil Ruusuvuori,Borna Gojo,57.0,77.0,20.0,0.4,0.5,1
Daniel Evans,Taro Daniel,180.0,89.0,-91.0,0.4,0.2,1
Max Purcell,Rinky Hijikata,45.0,72.0,27.0,0.2,0.5,1
Fabian Marozsan,Dusan Lajovic,91.0,55.0,-36.0,0.6,0.6,1
Fernando Verdasco,Lorenzo Sonego,201.0,22.0,-179.0,0.3,0.6,0
Jordan Thompson,Ugo Humbert,55.0,20.0,-35.0,0.3,0.8,1
Jozef Kovalik,Alejandro Davidovich Fokina,186.0,35.0,-151.0,0.4,0.4,0
Soon Woo Kwon,Miomir Kecmanovic,74.0,33.0,-41.0,0.4,0.5,0
Felix Auger Aliassime,Dusan Lajovic,9.0,40.0,31.0,0.6,0.7,0
Jan Lennard Struff,Fabian Marozsan,28.0,62.0,34.0,0.3,0.6,1
Luciano Darderi,Mariano Navone,64.0,52.0,-12.0,0.6,0.7,0
Borna Coric,Felix Auger Aliassime,152.0,9.0,-143.0,0.4,0.6,1
Jurij Rodionov,Vasek Pospisil,153.0,150.0,-3.0,0.5555555555555556,0.4,0
Diego Schwartzman,Tomas Machac,14.0,131.0,117.0,0.7,0.6,1
Pedro Cachin,Andrea Vavassori,79.0,148.0,69.0,0.1,0.5,0
Arthur Rinderknech,Denis Shapovalov,61.0,12.0,-49.0,0.7,0.7,1
Juncheng Shang,Corentin Moutet,111.0,88.0,-23.0,0.5,0.5,1
Bernabe Zapata Miralles,Tomas Martin Etcheverry,53.0,32.0,-21.0,0.4,0.6,0
Taro Daniel,Christopher Oconnell,95.0,53.0,-42.0,0.3,0.4,0
Laslo Djere,Fabio Fognini,57.0,66.0,9.0,0.5,0.3,1
Grigor Dimitrov,Jakub Mensik,10.0,65.0,55.0,0.7,0.6,0
Arthur Rinderknech,Tomas Machac,60.0,25.0,-35.0,0.3,0.7,1
Taylor Fritz,Marin Cilic,13.0,22.0,9.0,0.8,0.5,1
Alex Molcan,Sebastian Ofner,120.0,61.0,-59.0,0.3,0.5,1
Pavel Kotov,Lloyd Harris,116.0,298.0,182.0,0.6,0.2,0
Andrey Rublev,Francisco Cerundolo,9.0,37.0,28.0,0.5,0.5,0
Hugo Gaston,Alexei Popyrin,66.0,83.0,17.0,0.5,0.2,1
Marton Fucsovics,Pavel Kotov,47.0,80.0,33.0,0.4,0.5,0
Alexander Zverev,Andy Murray,16.0,70.0,54.0,0.5,0.5,0
Rinky Hijikata,Stefanos Tsitsipas,75.0,6.0,-69.0,0.6,0.4,0
Giovanni Mpetshi Perricard,Karen Khachanov,31.0,21.0,-10.0,0.7,0.8,0
Tallon Griekspoor,Grigor Dimitrov,40.0,9.0,-31.0,0.4,0.6,0
Thanasi Kokkinakis,Fabio Fognini,85.0,52.0,-33.0,0.5,0.6,1
Casper Ruud,Holger Rune,4.0,7.0,3.0,0.7,0.9,0
Novak Djokovic,Holger Rune,1.0,7.0,6.0,0.7,0.9,0
Michael Mmoh,Ben Shelton,115.0,16.0,-99.0,0.7,0.5,0
Fernando Verdasco,Christopher Oconnell,154.0,94.0,-60.0,0.2,0.4,0
Hamad Medjedovic,Marcos Giron,168.0,75.0,-93.0,0.2,0.5,0
Tomas Martin Etcheverry,Sebastian Ofner,34.0,58.0,24.0,0.6,0.5,0
Roberto Bautista Agut,Richard Gasquet,102.0,131.0,29.0,0.4,0.2,1
Leandro Riedi,Andy Murray,152.0,41.0,-111.0,0.2,0.5,0
Daniel Altmaier,Jannik Sinner,93.0,13.0,-80.0,0.2,0.7,0
Sebastian Baez,Cristian Garin,77.0,18.0,-59.0,0.5,0.4,1
Benoit Paire,Henri Laaksonen,46.0,98.0,52.0,0.3,0.7,0
Tomas Machac,Aleksandar Vukic,33.0,91.0,58.0,0.6,0.5,1
Yoshihito Nishioka,Aleksandar Kovacevic,50.0,82.0,32.0,0.8,0.2,0
Jordan Thompson,Giovanni Mpetshi Perricard,33.0,49.0,16.0,0.7,0.6,1
Ricardas Berankis,Denis Shapovalov,99.0,14.0,-85.0,0.5,0.7,0
Grigor Dimitrov,John Millman,26.0,91.0,65.0,0.6,0.4,0
Aleksandar Kovacevic,Frances Tiafoe,76.0,20.0,-56.0,0.4,0.7,0
Soon Woo Kwon,Laslo Djere,64.0,52.0,-12.0,0.6,0.2,0
Lloyd Harris,Albert Ramos,40.0,32.0,-8.0,0.4,0.5,1
Marton Fucsovics,Taylor Fritz,86.0,8.0,-78.0,0.4,0.6,1
Nikoloz Basilashvili,Mackenzie Mcdonald,34.0,72.0,38.0,0.4,0.4,0
Yannick Hanfmann,Yosuke Watanuki,134.0,107.0,-27.0,0.5,0.5,1
Emil Ruusuvuori,Tommy Paul,57.0,13.0,-44.0,0.5,0.7,1
Soon Woo Kwon,Christopher Eubanks,104.0,30.0,-74.0,0.6,0.5,0
Juan Manuel Cerundolo,Diego Schwartzman,114.0,28.0,-86.0,0.4,0.2,1
Jannik Sinner,Stan Wawrinka,6.0,49.0,43.0,0.8,0.7,1
Arthur Rinderknech,Thanasi Kokkinakis,58.0,145.0,87.0,0.4,0.6,0
Jiri Lehecka,Nick Kyrgios,79.0,78.0,-1.0,0.3,0.7,0
Laslo Djere,Grigor Dimitrov,68.0,28.0,-40.0,0.4,0.6,0
Botic Van De Zandschulp,Tomas Machac,22.0,126.0,104.0,0.6,0.5,1
Maxime Cressy,Daniel Evans,75.0,26.0,-49.0,0.7,0.7,0
Jenson Brooksby,Benjamin Bonzi,34.0,47.0,13.0,0.4,0.6,1
Ben Shelton,Juncheng Shang,43.0,149.0,106.0,0.2,0.3,0
Miomir Kecmanovic,Francisco Cerundolo,70.0,100.0,30.0,0.6,0.3,0
Carlos Alcaraz,Nicola Kuhn,6.0,259.0,253.0,0.8,0.2,1
Zhizhen Zhang,Dusan Lajovic,53.0,66.0,13.0,0.5,0.3,1
Andrey Rublev,Francisco Cerundolo,7.0,20.0,13.0,0.9,0.8,1
Juan Pablo Varillas,Alex Michelsen,74.0,133.0,59.0,0.5,0.5555555555555556,0
Alex De Minaur,Dusan Lajovic,22.0,64.0,42.0,0.6,0.4,1
Karen Khachanov,Stefanos Tsitsipas,16.0,3.0,-13.0,0.6,0.7,1
Dominic Thiem,Rafael Nadal,98.0,672.0,574.0,0.5,0.3,0
Francisco Cerundolo,Karen Khachanov,22.0,17.0,-5.0,0.6,0.6,0
Botic Van De Zandschulp,Quentin Halys,35.0,62.0,27.0,0.4,0.5,1
Nuno Borges,Thanasi Kokkinakis,34.0,86.0,52.0,0.6,0.6,1
Alejandro Tabilo,Grigor Dimitrov,22.0,10.0,-12.0,0.2,0.7,0
Alex Michelsen,Thanasi Kokkinakis,75.0,79.0,4.0,0.3,0.3,1
Arthur Fils,Alejandro Davidovich Fokina,43.0,23.0,-20.0,0.4,0.5,1
Taylor Fritz,Stefanos Tsitsipas,12.0,7.0,-5.0,0.5,0.6,1
Stefanos Tsitsipas,Nick Kyrgios,5.0,40.0,35.0,0.8,0.8,0
Alexander Bublik,Casper Ruud,33.0,8.0,-25.0,0.6,0.8,0
Carlos Alcaraz,Roberto Bautista Agut,2.0,25.0,23.0,0.9,0.3,1
Marc Andrea Huesler,Albert Ramos,47.0,51.0,4.0,0.3,0.4,1
Francisco Cerundolo,Filip Misolic,27.0,243.0,216.0,0.5,0.4,1
Thanasi Kokkinakis,Lorenzo Musetti,86.0,19.0,-67.0,0.5,0.7,0
Matteo Arnaldi,Arthur Fils,61.0,48.0,-13.0,0.5,0.3,1
Rinky Hijikata,Thanasi Kokkinakis,71.0,65.0,-6.0,0.5,0.4,1
Maxime Cressy,Jack Sock,45.0,103.0,58.0,0.5,0.4,0
Tomas Machac,Daniil Medvedev,158.0,1.0,-157.0,0.6,0.8,0
Alejandro Tabilo,Filip Krajinovic,139.0,42.0,-97.0,0.375,0.2,0
Alexander Bublik,Jack Draper,31.0,62.0,31.0,0.6,0.6,0
Alexander Shevchenko,Luca Van Assche,48.0,90.0,42.0,0.7,0.4,1
Alexander Zverev,Arthur Fils,19.0,71.0,52.0,0.7,0.5,1
Tommy Paul,Richard Gasquet,34.0,80.0,46.0,0.7,0.4,0
Pedro Martinez,Daniel Altmaier,77.0,54.0,-23.0,0.4,0.4,1
Nicolas Jarry,Hugo Dellien,35.0,160.0,125.0,0.6,0.4,1
Marc Andrea Huesler,Francisco Cerundolo,62.0,28.0,-34.0,0.6,0.2,0
Jiri Lehecka,Laslo Djere,98.0,55.0,-43.0,0.42857142857142855,0.3,0
Sebastian Baez,Miomir Kecmanovic,26.0,55.0,29.0,0.2,0.6,0
Borna Coric,Rafael Nadal,152.0,3.0,-149.0,0.7,0.9,1
Giovanni Mpetshi Perricard,Alexander Bublik,117.0,19.0,-98.0,0.6666666666666666,0.5,1
Otto Virtanen,Mackenzie Mcdonald,125.0,39.0,-86.0,0.4,0.7,1
Jaume Munar,Albert Ramos,70.0,104.0,34.0,0.4,0.3,1
Stefanos Tsitsipas,Botic Van De Zandschulp,7.0,67.0,60.0,0.5,0.5,1
Jiri Lehecka,Sebastian Korda,35.0,33.0,-2.0,0.7,0.5,1
Mariano Navone,Flavio Cobolli,36.0,48.0,12.0,0.3,0.5,0
Dimitar Kuzmanov,Roberto Carballes Baena,207.0,82.0,-125.0,0.6,0.3,0
Aleksandar Vukic,Alexander Bublik,160.0,35.0,-125.0,0.3333333333333333,0.4,1
